support,itemsets
0.07049497116598956,frozenset({'1004856'})
0.05225118303129898,frozenset({'1005115'})
0.05132301699608953,frozenset({'1004767'})
0.035270309337958945,frozenset({'1004833'})
0.032927070494971164,frozenset({'1002544'})
0.028514477868565605,frozenset({'4804056'})
0.025303936336939486,frozenset({'1004249'})
0.02376713683601893,frozenset({'1005100'})
0.021926020602242816,frozenset({'1005105'})
0.021849941419028924,frozenset({'1004870'})
0.019902314328753366,frozenset({'1004836'})
0.017422132955980586,frozenset({'1002524'})
0.01600706014820225,frozenset({'1004873'})
0.01482022489006558,frozenset({'1005160'})
0.013679037141857244,frozenset({'1002633'})
0.011624899195082241,frozenset({'1004750'})
0.011518388338582796,frozenset({'1005116'})
0.011351014135512242,frozenset({'1005174'})
0.010955402382800019,frozenset({'1004838'})
0.010772812343086685,frozenset({'5100816'})
0.009464250391807793,frozenset({'4804055'})
0.00928166035209446,frozenset({'1005135'})
0.009266444515451682,frozenset({'1003306'})
0.00893169610931057,"frozenset({'1004833', '1004856'})"
0.00871867439631168,frozenset({'1004209'})
0.008642595213097792,frozenset({'1004858'})
0.00858173186652668,"frozenset({'1004767', '1004856'})"
0.008140472603886124,frozenset({'1004659'})
0.007820940034387791,frozenset({'1801690'})
0.007775292524459457,frozenset({'1004565'})
0.00741011244503279,frozenset({'1004768'})
0.007257954078605012,frozenset({'1005186'})
0.007166659058748345,frozenset({'1004785'})
0.006968853182392234,frozenset({'1003317'})
0.006968853182392234,frozenset({'1004258'})
0.006907989835821123,frozenset({'1002629'})
0.0067862631426789,frozenset({'1004246'})
0.006618888939608344,frozenset({'1005169'})
0.006360219716681122,frozenset({'1005161'})
0.006071118820468344,frozenset({'4804295'})
0.006040687147182788,"frozenset({'1004249', '1005115'})"
0.00602547131054001,frozenset({'4804718'})
0.005797233760898343,frozenset({'1005098'})
0.005782017924255565,frozenset({'1005212'})
0.005782017924255565,frozenset({'4100346'})
0.005766802087612787,frozenset({'1005203'})
0.00575158625097001,frozenset({'1005177'})
0.0057363704143272316,frozenset({'1004741'})
0.005508132864685565,"frozenset({'1004833', '1004767'})"
0.005279895315043898,frozenset({'1801766'})
0.005279895315043898,frozenset({'1005239'})
0.005203816131830009,frozenset({'1005008'})
0.005097305275330564,frozenset({'1005159'})
0.00499079441883112,frozenset({'1005129'})
0.004960362745545564,"frozenset({'1004856', '1005100'})"
0.004929931072260008,frozenset({'1005217'})
0.004914715235617231,frozenset({'1004250'})
0.0048386360524033415,frozenset({'4803977'})
0.0048386360524033415,frozenset({'1004857'})
0.00477777270583223,"frozenset({'1005105', '1005115'})"
0.004473455972976674,frozenset({'1005118'})
0.00429086593326334,frozenset({'3600661'})
0.00423000258669223,frozenset({'1004781'})
0.004199570913406674,frozenset({'1002532'})
0.004199570913406674,frozenset({'1005014'})
0.004108275893550007,frozenset({'3700926'})
0.004077844220264451,frozenset({'1005205'})
0.003986549200407785,frozenset({'1004903'})
0.003940901690479451,frozenset({'1005132'})
0.003849606670622784,frozenset({'5100855'})
0.0038343908339800066,frozenset({'1801805'})
0.003803959160694451,frozenset({'1004237'})
0.003773527487408895,frozenset({'1004766'})
0.0036670166309094505,frozenset({'1004872'})
0.003636584957623895,frozenset({'1005099'})
0.0035148582644816727,frozenset({'1005121'})
0.003484426591196117,"frozenset({'1002544', '1005115'})"
0.003469210754553339,frozenset({'1005104'})
0.0034235632446250057,frozenset({'1005106'})
0.003408347407982228,frozenset({'1801881'})
0.00339313157133945,frozenset({'5100566'})
0.0033322682247683387,frozenset({'1005238'})
0.0033018365514827833,frozenset({'1002547'})
0.0032714048781972275,frozenset({'1004834'})
0.003240973204911672,frozenset({'3601405'})
0.003225757368268894,frozenset({'1004708'})
0.003180109858340561,frozenset({'1307310'})
0.0031344623484122276,"frozenset({'1004836', '1004856'})"
0.003088814838483894,frozenset({'1004839'})
0.0030735990018411164,"frozenset({'1004767', '1004870'})"
0.0030735990018411164,"frozenset({'1004836', '1004767'})"
0.0030735990018411164,frozenset({'1005204'})
0.003012735655270005,frozenset({'1004720'})
0.0029975198186272273,frozenset({'1004566'})
0.0029214406354133382,frozenset({'2900958'})
0.0029062247987705603,frozenset({'3600666'})
0.0028301456155566712,frozenset({'1004227'})
0.002799713942271116,frozenset({'5100337'})
0.002799713942271116,frozenset({'1005119'})
0.002799713942271116,"frozenset({'1004873', '1004767'})"
0.002799713942271116,frozenset({'1801929'})
0.002784498105628338,frozenset({'1005003'})
0.002784498105628338,frozenset({'1003310'})
0.0027236347590572267,"frozenset({'1002544', '1002633'})"
0.0027236347590572267,frozenset({'1801739'})
0.0027236347590572267,"frozenset({'4804056', '4804055'})"
0.0026779872491288935,"frozenset({'1002544', '1004767'})"
0.0026627714124861156,frozenset({'1004739'})
0.0026171239025577823,"frozenset({'1004209', '1004856'})"
0.0026171239025577823,"frozenset({'1002524', '1002544'})"
0.0025866922292722264,frozenset({'1005006'})
0.0025714763926294485,frozenset({'1307545'})
0.002556260555986671,frozenset({'1004863'})
0.0025258288827011153,frozenset({'1005124'})
0.00249539720941556,frozenset({'1004875'})
0.002480181372772782,frozenset({'5100562'})
0.002464965536130004,"frozenset({'1005116', '1005115'})"
0.002464965536130004,frozenset({'1002528'})
0.0024345338628444487,frozenset({'1005253'})
0.0024345338628444487,"frozenset({'1004833', '1004836'})"
0.0024193180262016708,frozenset({'3600163'})
0.002388886352916115,"frozenset({'4804056', '1005115'})"
0.002388886352916115,frozenset({'4804660'})
0.0023736705162733375,frozenset({'4804572'})
0.0023584546796305596,frozenset({'1003304'})
0.0023584546796305596,"frozenset({'1004870', '1004856'})"
0.0022975913330594484,frozenset({'4100126'})
0.0022975913330594484,frozenset({'1002540'})
0.0022671596597738926,"frozenset({'1004767', '1005115'})"
0.0022519438231311147,frozenset({'1004210'})
0.0022519438231311147,frozenset({'1003312'})
0.002236727986488337,frozenset({'1200947'})
0.002236727986488337,frozenset({'1005144'})
0.0022215121498455593,"frozenset({'1004833', '1005100'})"
0.0022215121498455593,frozenset({'3700766'})
0.0022062963132027814,frozenset({'1801555'})
0.0021910804765600035,frozenset({'3601603'})
0.002160648803274448,"frozenset({'1002544', '1004856'})"
0.00214543296663167,frozenset({'1003316'})
0.0021302171299888923,frozenset({'1005112'})
0.002115001293346115,"frozenset({'1004249', '1002544'})"
0.002115001293346115,frozenset({'1005182'})
0.002099785456703337,frozenset({'1307073'})
0.002099785456703337,frozenset({'1004835'})
0.002084569620060559,frozenset({'1307188'})
0.002069353783417781,frozenset({'1801940'})
0.002069353783417781,frozenset({'12703015'})
0.0020541379467750036,frozenset({'2702277'})
0.0020389221101322257,frozenset({'1004961'})
0.0020389221101322257,frozenset({'1005168'})
0.002023706273489448,"frozenset({'1004856', '1004858'})"
0.002023706273489448,frozenset({'1005031'})
0.002023706273489448,frozenset({'5100719'})
0.0019932746002038924,frozenset({'1005107'})
0.0019780587635611145,"frozenset({'1004856', '1005115'})"
0.0019628429269183366,frozenset({'1801623'})
0.001947627090275559,frozenset({'5100577'})
0.001947627090275559,frozenset({'5300157'})
0.001947627090275559,frozenset({'1004871'})
0.0019171954169900033,frozenset({'5100610'})
0.0019019795803472254,frozenset({'1201504'})
0.0018867637437044475,frozenset({'1004904'})
0.0018715479070616698,frozenset({'1005122'})
0.0018715479070616698,"frozenset({'1004767', '1005100'})"
0.0018563320704188919,frozenset({'1005195'})
0.0018563320704188919,frozenset({'1004709'})
0.0018563320704188919,frozenset({'1005221'})
0.0018259003971333363,frozenset({'5100572'})
0.0017954687238477807,"frozenset({'1003306', '1002544'})"
0.0017954687238477807,frozenset({'1003800'})
0.0017954687238477807,"frozenset({'1004833', '1004750'})"
0.0017954687238477807,frozenset({'3601524'})
0.001780252887205003,frozenset({'5100503'})
0.001780252887205003,"frozenset({'1004750', '1004767'})"
0.0017498212139194474,frozenset({'1005130'})
0.0017346053772766695,frozenset({'1004886'})
0.0017346053772766695,frozenset({'6300680'})
0.0017346053772766695,"frozenset({'1004750', '1004856'})"
0.0017193895406338918,frozenset({'4100129'})
0.0017193895406338918,frozenset({'1005073'})
0.001704173703991114,frozenset({'1004874'})
0.0016889578673483362,frozenset({'1004749'})
0.0016889578673483362,frozenset({'1307067'})
0.0016889578673483362,frozenset({'1005235'})
0.0016889578673483362,"frozenset({'1004833', '1004870'})"
0.0016889578673483362,"frozenset({'1004249', '1002524'})"
0.0016433103574200027,frozenset({'1802037'})
0.0016433103574200027,frozenset({'1801849'})
0.0016433103574200027,frozenset({'1005211'})
0.001628094520777225,frozenset({'1005017'})
0.001628094520777225,frozenset({'1004238'})
0.001628094520777225,"frozenset({'1002524', '1005115'})"
0.001612878684134447,frozenset({'3800751'})
0.0015672311742061138,frozenset({'22700129'})
0.0015672311742061138,frozenset({'1307589'})
0.001552015337563336,frozenset({'3701134'})
0.0015367995009205582,frozenset({'1005062'})
0.0015367995009205582,frozenset({'1004665'})
0.0015215836642777803,"frozenset({'1004873', '1004870'})"
0.0015063678276350024,frozenset({'10701101'})
0.0015063678276350024,frozenset({'1801995'})
0.0014911519909922247,frozenset({'5301399'})
0.0014911519909922247,frozenset({'1004259'})
0.0014911519909922247,frozenset({'3600182'})
0.0014759361543494468,"frozenset({'1003317', '1005115'})"
0.0014759361543494468,frozenset({'1005256'})
0.0014607203177066691,frozenset({'1004653'})
0.0014607203177066691,frozenset({'2900090'})
0.0014455044810638912,frozenset({'3700621'})
0.0014302886444211135,frozenset({'1005007'})
0.0014302886444211135,frozenset({'5100852'})
0.0014150728077783356,frozenset({'26400194'})
0.0014150728077783356,frozenset({'4802036'})
0.0014150728077783356,frozenset({'1307076'})
0.001399856971135558,frozenset({'3700869'})
0.001399856971135558,frozenset({'1002525'})
0.001399856971135558,frozenset({'6000094'})
0.00138464113449278,frozenset({'1004958'})
0.00138464113449278,frozenset({'1002545'})
0.00138464113449278,frozenset({'1801882'})
0.0013694252978500023,frozenset({'1802038'})
0.0013694252978500023,frozenset({'5100376'})
0.0013542094612072244,frozenset({'26300078'})
0.0013542094612072244,frozenset({'3701244'})
0.0013542094612072244,frozenset({'1801806'})
0.0013389936245644467,frozenset({'2701683'})
0.0013237777879216688,frozenset({'26300079'})
0.0013237777879216688,"frozenset({'1004246', '1005115'})"
0.0013085619512788911,frozenset({'3601437'})
0.0013085619512788911,frozenset({'3700748'})
0.0013085619512788911,frozenset({'1004226'})
0.0013085619512788911,frozenset({'1004723'})
0.0012933461146361132,frozenset({'3600231'})
0.0012933461146361132,frozenset({'12709380'})
0.0012933461146361132,frozenset({'1005143'})
0.0012781302779933355,frozenset({'3601522'})
0.0012781302779933355,frozenset({'5801656'})
0.0012781302779933355,frozenset({'1005236'})
0.0012781302779933355,frozenset({'1004240'})
0.0012781302779933355,"frozenset({'1004836', '1004750'})"
0.0012629144413505576,frozenset({'1003712'})
0.0012629144413505576,frozenset({'12703494'})
0.0012629144413505576,frozenset({'1005072'})
0.0012629144413505576,frozenset({'3601489'})
0.00124769860470778,frozenset({'1005225'})
0.00124769860470778,frozenset({'1002634'})
0.00124769860470778,"frozenset({'1005105', '1005135'})"
0.00124769860470778,"frozenset({'1004836', '1004870'})"
0.00124769860470778,frozenset({'1002536'})
0.00124769860470778,"frozenset({'1004856', '1004838'})"
0.001232482768065002,frozenset({'1005209'})
0.001232482768065002,frozenset({'26400266'})
0.001232482768065002,frozenset({'1801691'})
0.0012172669314222243,"frozenset({'4804056', '4804718'})"
0.0012172669314222243,frozenset({'1004247'})
0.0012020510947794464,frozenset({'1307004'})
0.0012020510947794464,"frozenset({'1004836', '1005100'})"
0.0012020510947794464,frozenset({'1005230'})
0.0011868352581366687,frozenset({'1005179'})
0.0011868352581366687,frozenset({'3700912'})
0.0011868352581366687,frozenset({'2701646'})
0.0011868352581366687,frozenset({'1005173'})
0.0011868352581366687,frozenset({'1005141'})
0.0011868352581366687,"frozenset({'1002524', '1004767'})"
0.0011716194214938908,frozenset({'1005015'})
0.0011564035848511131,"frozenset({'1004249', '1004767'})"
0.0011564035848511131,"frozenset({'1004767', '1004768'})"
0.0011564035848511131,frozenset({'1005158'})
0.0011564035848511131,frozenset({'3801134'})
0.0011564035848511131,frozenset({'5300453'})
0.0011411877482083352,frozenset({'2702347'})
0.0011411877482083352,"frozenset({'1003306', '1004249'})"
0.0011411877482083352,"frozenset({'1003306', '1005115'})"
0.0011259719115655573,frozenset({'3300349'})
0.0011259719115655573,frozenset({'3900003'})
0.0011259719115655573,frozenset({'1801704'})
0.0011259719115655573,frozenset({'26300089'})
0.0011107560749227796,frozenset({'26300101'})
0.0011107560749227796,"frozenset({'1002544', '1004870'})"
0.0010955402382800017,frozenset({'1004888'})
0.0010955402382800017,"frozenset({'1004767', '1005174'})"
0.001080324401637224,frozenset({'3601485'})
0.001080324401637224,frozenset({'8801100'})
0.001080324401637224,frozenset({'5300763'})
0.0010651085649944461,frozenset({'1005171'})
0.0010651085649944461,frozenset({'4201541'})
0.0010651085649944461,frozenset({'26300088'})
0.0010651085649944461,frozenset({'12703498'})
0.0010498927283516684,frozenset({'1005252'})
0.0010498927283516684,frozenset({'1801901'})
0.0010498927283516684,frozenset({'1801960'})
