items,freq
1004856,4633
1005115,3434
1004767,3373
1004833,2318
1002544,2164
4804056,1874
1004249,1663
1005100,1562
1005105,1441
1004870,1436
1004836,1308
1002524,1145
1004873,1052
1005160,974
1002633,899
1004750,764
1005116,757
1005174,746
1004838,720
5100816,708
4804055,622
1005135,610
1003306,609
"10,048,331,004,856",587
1004209,573
1004858,568
"10,047,671,004,856",564
1004659,535
1801690,514
1004565,511
1004768,487
1005186,477
1004785,471
1003317,458
1004258,458
1002629,454
1004246,446
1005169,435
1005161,418
4804295,399
"10,042,491,005,115",397
4804718,396
1005098,381
1005212,380
4100346,380
1005203,379
1005177,378
1004741,377
"10,048,331,004,767",362
1801766,347
1005239,347
1005008,342
1005159,335
1005129,328
"10,051,001,004,856",326
1005217,324
1004250,323
1004857,318
4803977,318
"10,051,051,005,115",314
1005118,294
3600661,282
1004781,278
1005014,276
1002532,276
3700926,270
1005205,268
1004903,262
1005132,259
5100855,253
1801805,252
1004237,250
1004766,248
1004872,241
1005099,239
1005121,231
"10,025,441,005,115",229
1005104,228
1005106,225
1801881,224
5100566,223
1005238,219
1002547,217
1004834,215
3601405,213
1004708,212
1307310,209
"10,048,361,004,856",206
1004839,203
"10,048,701,004,767",202
"10,048,361,004,767",202
1005204,202
1004720,198
1004566,197
2900958,192
3600666,191
1004227,186
"10,048,731,004,767",184
1005119,184
1801929,184
5100337,184
1003310,183
1005003,183
1801739,179
"10,026,331,002,544",179
"48,040,554,804,056",179
"10,025,441,004,767",176
1004739,175
"10,025,241,002,544",172
"10,042,091,004,856",172
1005006,170
1307545,169
1004863,168
1005124,166
1004875,164
5100562,163
"10,051,161,005,115",162
1002528,162
"10,048,361,004,833",160
1005253,160
3600163,159
"48,040,561,005,115",157
4804660,157
4804572,156
"10,048,701,004,856",155
1003304,155
4100126,151
1002540,151
"10,047,671,005,115",149
1004210,148
1003312,148
1005144,147
1200947,147
"10,051,001,004,833",146
3700766,146
1801555,145
3601603,144
"10,025,441,004,856",142
1003316,141
1005112,140
"10,042,491,002,544",139
1005182,139
1004835,138
1307073,138
1307188,137
1801940,136
12703015,136
2702277,135
1005168,134
1004961,134
"10,048,581,004,856",133
1005031,133
5100719,133
1005107,131
"10,051,151,004,856",130
1801623,129
1004871,128
5100577,128
5300157,128
5100610,126
1201504,125
1004904,124
"10,051,001,004,767",123
1005122,123
1005221,122
1004709,122
1005195,122
5100572,120
"10,033,061,002,544",118
"10,047,501,004,833",118
1003800,118
3601524,118
"10,047,501,004,767",117
5100503,117
1005130,115
"10,047,501,004,856",114
6300680,114
1004886,114
4100129,113
1005073,113
1004874,112
"10,048,701,004,833",111
"10,025,241,004,249",111
1005235,111
1004749,111
1307067,111
1802037,108
1801849,108
1005211,108
"10,025,241,005,115",107
1005017,107
1004238,107
3800751,106
1307589,103
22700129,103
3701134,102
1005062,101
1004665,101
"10,048,731,004,870",100
1801995,99
10701101,99
1004259,98
5301399,98
3600182,98
"10,033,171,005,115",97
1005256,97
1004653,96
2900090,96
3700621,95
1005007,94
5100852,94
4802036,93
1307076,93
26400194,93
6000094,92
3700869,92
1002525,92
1002545,91
1801882,91
1004958,91
1802038,90
5100376,90
1801806,89
3701244,89
26300078,89
2701683,88
"10,042,461,005,115",87
26300079,87
3601437,86
3700748,86
1004226,86
1004723,86
3600231,85
1005143,85
12709380,85
3601522,84
5801656,84
"10,047,501,004,836",84
1005236,84
1004240,84
3601489,83
1003712,83
1005072,83
12703494,83
1002634,82
"10,048,361,004,870",82
1005225,82
1002536,82
"10,048,381,004,856",82
"10,051,351,005,105",82
1005209,81
26400266,81
1801691,81
1004247,80
"48,047,184,804,056",80
"10,048,361,005,100",79
1307004,79
1005230,79
"10,025,241,004,767",78
3700912,78
1005141,78
1005179,78
2701646,78
1005173,78
1005015,77
3801134,76
"10,047,681,004,767",76
"10,042,491,004,767",76
5300453,76
1005158,76
"10,033,061,005,115",75
"10,033,061,004,249",75
2702347,75
3900003,74
26300089,74
3300349,74
1801704,74
"10,048,701,002,544",73
26300101,73
"10,051,741,004,767",72
1004888,72
8801100,71
3601485,71
5300763,71
26300088,70
12703498,70
4201541,70
1005171,70
"10,042,461,004,249",69
1005252,69
5000475,69
1801689,69
3601343,69
1801901,69
1005126,69
1801960,69
"10,051,161,005,105",68
2900022,68
1005266,67
22700068,67
5100689,67
26300189,67
1200957,67
5100853,66
22700084,66
1002542,66
