antecedent,consequent,confidence,lift,support
1004209,1004856,0.30017452,4.258098345,0.002617124
4804055,4804056,0.28778135,10.09246432,0.002723635
1004833,1004856,0.253235548,3.592249826,0.008931696
1004249,1005115,0.238725195,4.568799816,0.006040687
1004858,1004856,0.23415493,3.321583451,0.002023706
1005105,1005115,0.217904233,4.170321522,0.004777773
1005116,1005115,0.214002642,4.095651612,0.002464966
1003317,1005115,0.211790393,4.053312877,0.001475936
1005100,1004856,0.208706786,2.960591128,0.004960363
4804718,4804056,0.202020202,7.084829081,0.001217267
1002633,1002544,0.199110122,6.047003859,0.002723635
1004246,1005115,0.195067265,3.733260249,0.001323778
1003306,1002544,0.193760263,5.884527831,0.001795469
1004873,1004767,0.174904943,3.407924031,0.002799714
1004767,1004856,0.167210199,2.37194506,0.008581732
1004836,1004856,0.157492355,2.23409347,0.003134462
1004833,1004767,0.156169111,3.042866933,0.005508133
1004768,1004767,0.156057495,3.040692149,0.001156404
1004246,1004249,0.15470852,6.114010015,0.001049893
1004750,1004833,0.154450262,4.379044717,0.001795469
1004836,1004767,0.154434251,3.009064155,0.003073599
1004750,1004767,0.153141361,2.983872933,0.001780253
1002524,1002544,0.150218341,4.562153218,0.002617124
1004750,1004856,0.14921466,2.11667098,0.001734605
1004870,1004767,0.140668524,2.740846737,0.003073599
1005135,1005105,0.13442623,6.130899535,0.001247699
1004856,1004833,0.126699763,3.592249826,0.008931696
1003306,1005115,0.123152709,2.356936288,0.001141188
1003306,1004249,0.123152709,4.866938792,0.001141188
1004836,1004833,0.122324159,3.468190705,0.002434534
1004856,1004767,0.121735377,2.37194506,0.008581732
1005115,1004249,0.11560862,4.568799816,0.006040687
1004838,1004856,0.113888889,1.615560472,0.001247699
1004750,1004836,0.109947644,5.524364763,0.00127813
1004870,1004856,0.107938719,1.531154874,0.002358455
1004767,1004833,0.107322858,3.042866933,0.005508133
1002544,1005115,0.105822551,2.025266122,0.003484427
